date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2011:48:14%20GMT	http://ueb.vnu.edu.vn/robots.txt		(from )
18:48:18	189037/189037	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Dec%202021%2011:48:14%20GMT	http://ueb.vnu.edu.vn/	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/index.html	(from )
18:48:22	12233/12233	---M-Z	200	added ('OK')	text/css	etag:%22096b793e11d51:0%22	http://ueb.edu.vn/StyleSheets/DHKT/Home.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/StyleSheets/DHKT/Home.css	(from http://ueb.vnu.edu.vn/)
18:48:22	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2007%20Dec%202021%2011:48:18%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/connect.facebook.net/en_US/fbevents.js	(from http://ueb.vnu.edu.vn/)
18:48:22	3623/3623	---M--	200	added ('OK')	text/css	etag:%221fed98b14462d51:0%22	http://ueb.vnu.edu.vn/css/trangchuTV_moi/navigation.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/css/trangchuTV_moi/navigation.css	(from http://ueb.vnu.edu.vn/)
18:48:23	3697/3697	---M--	200	added ('OK')	text/css	etag:%22802dc2c65c9d01:0%22	http://ueb.vnu.edu.vn/css/trangchuTV_moi/navigation_tren.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/css/trangchuTV_moi/navigation_tren.css	(from http://ueb.vnu.edu.vn/)
18:48:23	3562/3562	---M--	200	added ('OK')	text/css	etag:%22a58591c24192d21:0%22	http://ueb.vnu.edu.vn/css/trangchuTV_moi/style.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/css/trangchuTV_moi/style.css	(from http://ueb.vnu.edu.vn/)
18:48:23	719/719	---M--	200	added ('OK')	text/css	etag:%2280d790d85a95cf1:0%22	http://ueb.vnu.edu.vn/css/trangchuTV_moi/red.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/css/trangchuTV_moi/red.css	(from http://ueb.vnu.edu.vn/)
18:48:24	7060/7060	---M--	200	added ('OK')	application/javascript	etag:%22671fbb2bb28cd21:0%22	http://ueb.vnu.edu.vn/js/trangchuTV_moi/jquery.vticker.js	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/js/trangchuTV_moi/jquery.vticker.js	(from http://ueb.vnu.edu.vn/)
18:48:24	4116/4116	---M--	200	added ('OK')	text/css	etag:%2290408131bdccf1:0%22	http://ueb.vnu.edu.vn/js/nivo-slider/nivo-slider.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/js/nivo-slider/nivo-slider.css	(from http://ueb.vnu.edu.vn/)
